Ticker,PaymentDate,TotalPayment,Amortization,Interest
GD38,2035-07-09,5.23,4.55,0.68
GD38,2036-01-09,5.12,4.55,0.57
GD38,2036-07-09,5.0,4.55,0.45
GD38,2037-01-09,4.89,4.55,0.34
GD38,2037-07-09,4.78,4.55,0.23
GD38,2038-01-09,4.66,4.55,0.11
S10N5,2025-11-10,122.96,100.0,22.96
S16E6,2026-01-16,119.06,100.0,19.06
S28N5,2025-11-28,123.56,100.0,23.56
T30E6,2026-01-30,142.22,100.0,42.22
T30J6,2026-06-30,144.89,100.0,44.89
T15D5,2025-12-15,170.83,100.0,70.83
T15E7,2027-01-15,153.91,100.0,53.91
